sequenceID,genotyping_core,genotyping_e1,genotyping_e2,genotyping_p7,genotyping_ns2,genotyping_ns3,genotyping_ns4a,genotyping_ns4b,genotyping_ns5a,genotyping_ns5b
H211520434-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520435-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520437-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520438-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520439-1_NGS97,2b,2b,2b,2b,2b,2b,2b,2b,2b,2b
H211520441-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520812-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520813-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520436-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520814-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211520815-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211520816-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520817-1_NGS98,1,1b,1b,1b,1b,1b,1b,1b,1b,1b
H211520860-1_NGS98,3b,3b,3b,3b,3b,3b,3b,3b,3b,3b
H211520861-1_NGS98,1,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211540709-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211560070-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211560508-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211560511-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211560512-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211560513-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211580351-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211580607-1_NGS98,3a,3a,3,3a,3a,3a,,3a,3a,3a
H211580719-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211600485-1_NGS98,1c,1c,1c,1c,1c,1c,1c,1c,1c,1c
H211600486-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211620703-1_NGS98,4k,4k,4k,4k,4k,4k,4k,4k,4k,4k
H211620704-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211640521-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211680167-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211680168-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211680169-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211680170-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211680171-1_NGS98,2b,2b,2b,2b,2b,2b,2b,2b,2b,2b
H211680172-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211680173-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211680174-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211680175-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211680177-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211680178-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211680601-1_NGS98,3h,,3h,,,3h,3h,3h,3h,3h
H211700038-1_NGS98,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b
H211700039-1_NGS98,,,,,,,,,,
H211700056-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211700057-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211700067-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211700449-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211720147-1_NGS98,1,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211740235-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211740540-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211740541-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211740542-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211740543-1_NGS98,1,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211740545-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211740546-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211740642-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211740643-1_NGS98,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211740644-1_NGS98,6f,6f,6f,6f,6f,6f,6f,6f,6f,6f
H211740753-1_NGS98,6n,6n,6n,6n,6n,6n,6n,6n,6n,6n
H211760658-1_NGS98,4r,4r,4r,4r,4r,4r,4r,4r,4r,4r
H211760659-1_NGS98,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211760660-1_NGS98,1,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211540708-1_NGS99,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211560515-1_NGS99,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211700039-1_NGS99,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b
H211740644-1_NGS99,6f,6f,6f,6f,6f,6f,6f,6f,6f,6f
H211820258-1_NGS99,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211820288-1_NGS99,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211841102-1_NGS99,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211841103-1_NGS99,,,,1a,1a,1a,1a,,1,1
H211841104-1_NGS99,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211860221-1_NGS99,,,,,3a,,3a,,,
H211860222-1_NGS99,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211860904-1_NGS99,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211860905-1_NGS99,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211860906-1_NGS99,4,4,4,4,4,4,4,4,4,4
H211860907-1_NGS99,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211860908-1_NGS99,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211860909-1_NGS99,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211860910-1_NGS99,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211860911-1_NGS99,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211880094-1_NGS99,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211880856-1_NGS99,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b
H211880857-1_NGS99,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211900002-1_NGS99,1o,1,1o,1,1o,1,1o,1o,1o,1o
H211900006-1_NGS99,1a,1a,3a,3a,3,1a,1a,3a,3a,3a
H211900006-2_NGS99,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211900485-1_NGS99,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211900486-1_NGS99,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211921020-1_NGS99,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211921022-1_NGS99,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211921025-1_NGS99,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b
H211921029-1_NGS99,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211921167-1_NGS99,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211940943-1_NGS99,2b,2b,2b,2b,2b,2b,2b,2b,2b,2b
H211940944-1_NGS99,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211940945-1_NGS99,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211940946-1_NGS99,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b
H211940961-1_NGS99,,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211960671-1_NGS99,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211960673-1_NGS99,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211960674-1_NGS99,1,1a,1a,1a,1a,1a,1a,1a,1a,1a
